Neighborhood,ZIP-code,Number-of-households,Population,Households-with-one-or-more-people-65-years-and-over,Households-with-one-or-more-people-under-18-years,Population-with-Bachelor's-degree-or-higher,Median-household-income-(in-US-dollars),Households-with-no-vehicles,Households-with-1+-vehicles,"Proportion-of-developed,-open-space-in-neighborhood¹",Primary-mode-of-transportation-to-work-(persons-aged-16-years+):-walking-or-public-transit,Homes-built-2010-or-later,Homes-built-1990-to-2009,Homes-built-1970-to-1989,Homes-built-1950-to-1969,Homes-built-1950-or-earlier,Detached-whole-house,Townhouse,Apartments,Mobile-Homes/Other,Percentage-of-Old-and-Young-people,Percentage-of-Educated-Population
East-Memphis-–-Colonial-Yorkshire,38111,0.8864409525,0.7303071269,0.6772980046,0.4746987952,0.4435195131,0.1622954897,1,0.7800055081,0.9447,1,0.2119388011,0.05242185425,0.2866866636,0.9931506849,0.7842414311,0.7559286071,0.6822094692,0.7345923185,0.7551487414,0.4133603072,0.3382961104
Midtown-/-Evergreen-/-Overton-Square,38112,0.2756088342,0.2170833413,0.2098462545,0.1740294511,0.1522556391,0.1611416648,0.4420160571,0.2258331038,0.5502,0.5308529946,0.02658640582,0.0168245816,0.07406552838,0.1948366702,0.497610269,0.2370818772,0.4318507891,0.2549444941,0.2128146453,0.5852204282,0.3550058254
East-Memphis,38117,0.5369080404,0.4294065005,0.4942754334,0.3607764391,0.4884980308,0.4447545877,0.1213202498,0.5319746626,1.0000,0.06079854809,0.09430649611,0.01726733375,0.2113520997,0.8484720759,0.08138740953,0.5664003994,0.4139167862,0.1790225852,0.1281464531,0.6841305018,0.6875833681
Windyke-/-Southwind,38125,0.7613262055,0.7430834555,0.3666993785,0.6410977242,0.4317490154,0.3721810745,0.1048171276,0.7629303222,0.3770,0.08076225045,0.4850764986,0.79792792,0.4665436087,0.02191780822,0.03331967773,0.597978033,0.08106169297,0.7307643231,0.1830663616,0.3117021475,0.3195313944
South-Forum-/-Washington-Heights,38126,0.06739024785,0.03332127421,0.0004906771344,0.08875502008,0,0.01042587884,0.2823371989,0.03315890939,0.2019,0.1569872958,0.1988964133,0.009209244665,0,0.0947312961,0.06418134644,0.01204443335,0.1441893831,0.246650504,0,0.9699661592,0.03341635707
Frayser,38127,0.6875641233,0.6797159123,0.5399084069,0.674832664,0.09984783387,0.05839597612,0.7515611062,0.6078215368,0.2263,0.3176043557,0.07574617507,0.1160010626,0.5340332257,0.9292939937,0.2056534207,0.7812656016,0.18723099,0.4495342606,0.7414187643,0.5804778995,0.004614420009
Egypt-/-Raleigh,38128,0.7927533884,0.7615339211,0.5029440628,0.7677376171,0.1538220551,0.09569146584,0.7711864407,0.7126962269,0.3522,0.1733212341,0.09857035365,0.2668909944,0.9192431934,0.5399367756,0.1222176704,0.6715551672,0.2510760402,0.7537322955,1,0.5113459244,0.04372088145
"Bartlett-Zipcode-1",38133,0.3562287381,0.3273862793,0.1779522408,0.3435073628,0.1826441103,0.3673515919,0.09099018733,0.3514183421,0.3919,0.01451905626,0.2904439428,0.2641459311,0.3162205814,0.03245521602,0.02075652055,0.3700698952,0.05882352941,0.129131045,0.8672768879,0.5040979971,0.2833186464
"Bartlett-Zipcode-2",38134,0.7153734003,0.6691483082,0.4684331044,0.6073627845,0.2388560687,0.2200972806,0.3626226583,0.6842192234,0.4443,0.08166969147,0.1231502383,0.1766581068,1,0.3403582719,0.04192270927,0.5141662506,0.5150645624,0.7347199183,0.08466819222,0.466652256,0.1560955703
"Bartlett-Zipcode-3",38135,0.5116366974,0.5060644719,0.4396467125,0.4099062918,0.3454171142,0.4362563564,0.1512042819,0.5025061966,0.5500,0.08166969147,0.129420617,0.4541751527,0.4298569451,0.05489989463,0.03823569575,0.5844358462,0.1635581062,0.0775807069,0.07322654462,0.5037091745,0.3822101852
"Germantown-Zipcode-1",38138,0.4742156704,0.408709229,0.660614982,0.3820615797,0.5257787325,0.6965025978,0.2528991971,0.4517763701,0.7190,0.07078039927,0.2204665162,0.1303462322,0.7350023073,0.09968387777,0.01160726478,0.4447703445,0.3479196557,0.2786780656,0.01372997712,1,0.7845366331
"Germantown-Zipcode-2",38139,0.2338139208,0.2397608485,0.2616944717,0.2618473896,0.3451485858,1,0,0.237785734,0.6680,0,0.1038374718,0.1487647215,0.3218735579,0,0.002321452956,0.2993634548,0.09540889527,0.0040831951,0,0.8162629513,0.8150896204
South-Riverdale,38141,0.3553107619,0.3819950875,0.1310107949,0.3979919679,0.08557107053,0.2399817599,0.1016949153,0.349160011,0.2318,0.04355716878,0,0.1170636678,0.6497461929,0.03456269758,0.004096681688,0.3821143285,0.6893830703,0.02973076432,0.1281464531,0.3842460612,0.06346379512
